Title	Description	Shareable Link	Video Count
Greensky Bluegrass LIVE @ 9:30 Club 6/12/26	Couple of tracks from stage right balcony. Anders Beck had a funny take between songs on being at the 9:30 Club after "a bunch of these outdoor shows" where he felt like he couldn't curse because of "all the kids around" - so he just belted out a stream of profanity. set list at https://www.setlist.fm/setlist/greensky-bluegrass/2026/930-club-washington-dc-53485345.html	https://www.youtube.com/playlist?list=PLP9FPlWGJxns	2
Orianthi LIVE @ Rams Head 6/11/25	select tracks from a front table. including special appearance by Paul Reed Smith full set list at https://www.setlist.fm/setlist/orianthi/2026/rams-head-on-stage-annapolis-md-5b49034c.html	https://www.youtube.com/playlist?list=PLeZMlo0miZFA	6
Songwriters Celebrate John Prine LIVE @ Wolf Trap 6/9/26	A one-of-one celebration of John Prine, who would have turned 80 in October. Select tracks from the stage left pit.	https://www.youtube.com/playlist?list=PLbMXa1lXEX-c	12
Gary Clark Jr + Christone 'Kingfish' Ingram LIVE @ Wolf Trap 6/6/26	Select tracks from row J. Full set lists at https://www.setlist.fm/setlist/gary-clark-jr/2026/wolf-trap-national-park-for-the-performing-arts-filene-center-vienna-va-2348c4a7.html and https://www.setlist.fm/setlist/christone-kingfish-ingram/2026/wolf-trap-national-park-for-the-performing-arts-filene-center-vienna-va-3348c4a5.html	https://www.youtube.com/playlist?list=PLJYzcKs_5RoE	7
Jackie Venson LIVE @ New Spire Arts 6/4/26	great space, front row. select tracks. full set list at https://www.setlist.fm/setlist/jackie-venson/2026/new-spire-arts-frederick-md-737526b1.html	https://www.youtube.com/playlist?list=PLcIl83gdZw2w	6
Lyle Lovett LIVE @ Birchmere (night two) 5/31/26	select tracks from a front table - the show where I sneezed between songs and Lyle said "bless you" - full set list at https://www.setlist.fm/setlist/lyle-lovett/2026/the-birchmere-alexandria-va-7375deb1.html	https://www.youtube.com/playlist?list=PLO1yUE6ISmrg	9
Joe Satriani and Steve Vai LIVE @ Wolf Trap 5/30/26	SATCHVAI Band - Selected tracks from row C. full set list at https://www.setlist.fm/setlist/satchvai-band/2026/wolf-trap-national-park-for-the-performing-arts-filene-center-vienna-va-5b4c634c.html	https://www.youtube.com/playlist?list=PLRk5XHn7Qmz4	3
Gabe Stillman LIVE @ JV's 5/17/26	select tracks from a side table with Bob and Lary full set list is at https://www.setlist.fm/setlist/gabe-stillman/2026/jvs-live-music-room-falls-church-va-4377b387.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKUshaQbe6S0sVFmQn4bYgM	6
The Lone Bellow LIVE @ Birchmere 05/14/26	Select tracks from the VIP sound check and a front table at the main show. Eli Kollman opening. Full set list at https://www.setlist.fm/setlist/the-lone-bellow/2026/the-birchmere-alexandria-va-374c17b.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLtlZIXCYyNM5PuPKyWIJLb	8
Vanessa Collier LIVE @ Collective Encore 5/9/26	select tracks from a front table, hometown show, night 2 full set list at https://www.setlist.fm/setlist/vanessa-collier/2026/the-collective-encore-columbia-md-7377c2bd.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKE7Kc_0H8LtZRFyPZaEfr5	6
